#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
1403636858631666500,-0.037725084,-0.023758514,0.12519634,9.95786,-0.36166075,-3.2964902
1403636858636666500,-0.035636432,-0.02647855,0.11682215,9.786318,-0.1740083,-3.1990645
1403636858641666500,-0.032803543,-0.050138503,0.11815123,10.032513,0.012969193,-3.1508462
1403636858646666500,-0.043861546,-0.049492374,0.09585111,10.318647,-0.14171565,-3.3303473
1403636858651666500,-0.056334697,-0.054286316,0.06309375,10.270037,0.037961587,-3.2577941
1403636858656666500,-0.06879897,-0.045851454,0.05407316,10.335816,0.29126075,-3.2419028
1403636858661666500,-0.07866087,-0.0431758,0.048493896,10.204619,-0.15789476,-3.118607
1403636858666666500,-0.08630761,-0.040400356,0.027585167,10.204225,-0.27983665,-3.2083635
1403636858671666500,-0.07939819,-0.034783386,0.037359107,9.95905,-0.19024684,-3.0531435
1403636858676666500,-0.07527069,-0.03134504,0.061060194,9.901169,-0.30425128,-3.1667128
1403636858681666500,-0.07947645,-0.029957188,0.06315723,9.827561,-0.3450453,-3.1093726
1403636858686666500,-0.080242865,-0.029234128,0.08966607,9.607048,-0.23107962,-2.9541314
1403636858691666500,-0.077506,-0.03352774,0.11475544,9.696779,-0.4841487,-2.9614737
1403636858696666500,-0.076821886,-0.03219021,0.121037334,9.745635,-0.65535253,-2.9609902
1403636858701666500,-0.074026875,-0.030712554,0.12870821,9.705127,-0.33760223,-2.937139
1403636858706666500,-0.06918494,-0.02444982,0.14895374,9.631604,-0.29691452,-2.863484
1403636858711666500,-0.07611016,-0.019576745,0.14546542,9.852261,-0.32958582,-2.9694483
1403636858716666500,-0.08863772,-0.005580252,0.1420117,9.778658,-0.16619861,-2.9205492
1403636858721666500,-0.09767375,-0.011821052,0.14338864,9.868719,-0.060257223,-2.9534106
1403636858726666500,-0.10809048,-0.009744519,0.1148057,9.892916,-0.2311676,-3.0512757
1403636858731666500,-0.12609252,-0.015937334,0.07924381,10.0158205,-0.05133806,-3.1420088
1403636858736666500,-0.13237742,-0.010330373,0.064625934,9.860446,-0.051025335,-3.1012735
1403636858741666500,-0.13445774,-0.020872423,0.05274028,10.056158,-0.36924523,-3.2723994
1403636858746666500,-0.1358859,-0.016004527,0.0408953,9.916737,-0.49939585,-3.2802842
1403636858751666500,-0.12057751,-0.01949845,0.062496413,9.908564,-0.4506832,-3.3046973
1403636858756666500,-0.10671256,-0.009115184,0.079251215,9.817919,-0.6870048,-3.3855174
1403636858761666500,-0.096959315,-0.0070301946,0.08692017,9.826167,-0.6544445,-3.3610017
1403636858766666500,-0.094180875,8.447096e-06,0.09250969,9.630369,-0.37706333,-3.173585
1403636858771666500,-0.088656835,-0.015366523,0.105734065,9.556925,-0.4915031,-3.1081326
1403636858776666500,-0.09698046,-0.0153761525,0.091784716,9.712362,-0.54870063,-3.1162899
1403636858781666500,-0.10046279,-0.018122716,0.08411473,9.614748,-0.4346224,-2.986062
1403636858786666500,-0.101168536,-0.011890994,0.09527995,9.696645,-0.5082349,-2.9122145
1403636858791666500,-0.100481264,-0.00913428,0.099468574,9.704591,-0.6141239,-2.9200337
1403636858796666500,-0.10257072,0.0041609835,0.10019995,9.6067705,-0.42646384,-2.84678
1403636858801666500,-0.09982272,0.0027467292,0.11624393,9.508689,-0.45906615,-2.7975829
1403636858806666500,-0.09770786,0.008301353,0.11415182,9.647132,-0.5486279,-2.9360654
1403636858811666500,-0.101886906,0.0020738821,0.11065593,9.589988,-0.4100102,-2.9691172
1403636858816666500,-0.10047441,0.000712784,0.1176205,9.647224,-0.26335052,-3.0265367
1403636858821666500,-0.09907926,-3.6494806e-05,0.11203894,9.728447,-0.49152067,-3.1648815
1403636858826666500,-0.10598647,-0.0014035795,0.09111391,9.859467,-0.41815823,-3.1897976
1403636858831666500,-0.099010654,-0.003446402,0.09110908,9.777987,-0.23876533,-3.1331336
1403636858836666500,-0.10457521,-0.0041395817,0.07577348,9.769941,-0.2794677,-3.1005898
1403636858841666500,-0.11430881,-0.012474546,0.049966816,9.737417,-0.30380806,-3.0928273
1403636858846666500,-0.12548792,-0.008933188,0.036047224,9.484488,-0.23830883,-2.9215734
1403636858851666500,-0.12968805,-0.013179829,0.034628768,9.508305,-0.47456104,-3.035322
1403636858856666500,-0.13385841,-0.0076267514,0.014414046,9.507884,-0.5964689,-3.0923133
1403636858861666500,-0.13178787,-0.0019852575,0.019318525,9.319991,-0.36782122,-3.1415586
1403636858866666500,-0.13185066,0.006318791,0.030493755,9.156067,-0.5223162,-3.1326723
1403636858871666500,-0.12982818,-0.005615739,0.03675935,8.983786,-0.7832259,-3.1893563
1403636858876666500,-0.11869805,-0.007689772,0.040941868,8.844898,-0.6770792,-3.1894794
1403636858881666500,-0.102714844,-0.03143142,0.07019703,8.771066,-0.7511282,-3.1731503
1403636858886666500,-0.08807596,-0.04612705,0.083408386,9.024267,-0.89910936,-3.353088
1403636858891666500,-0.078313865,-0.05582647,0.10151763,9.032788,-0.678917,-3.3616757
1403636858896666500,-0.06712691,-0.055085212,0.12171008,9.262211,-0.4753464,-3.2884586
1403636858901666500,-0.06294788,-0.06278625,0.12588137,9.344065,-0.5490061,-3.3048105
1403636858906666500,-0.067737676,-0.06061946,0.11120856,9.589758,-0.35344216,-3.3379555
1403636858911666500,-0.06844846,-0.063358516,0.10493897,9.418355,-0.23918195,-3.1830893
1403636858916666500,-0.07744766,-0.06683017,0.07773997,9.533022,-0.27991492,-3.2160037
1403636858921666500,-0.09066536,-0.07026754,0.05334534,9.44339,-0.26347455,-3.1264684
1403636858926666500,-0.10110543,-0.07577129,0.042191077,9.3454895,-0.17364445,-3.1104445
1403636858931666500,-0.09905932,-0.08007415,0.039387915,9.271559,-0.47525615,-3.0689774
1403636858936666500,-0.09485967,-0.07803457,0.020549688,9.34484,-0.6055661,-3.1342313
1403636858941666500,-0.08516807,-0.072443865,0.024058241,8.952295,-0.5397352,-3.0441165
1403636858946666500,-0.08239294,-0.078007065,0.029631931,8.854349,-0.49902895,-2.9625113
1403636858951666500,-0.076852985,-0.08572045,0.021947343,8.600522,-0.5883778,-2.9621673
1403636858956666500,-0.07684109,-0.10033317,0.014940012,8.600602,-0.5559504,-3.0114007
1403636858961666500,-0.066427834,-0.10390863,0.030981664,8.575654,-0.6948339,-3.0683296
